Index,leftWheelCount,rightWheelCount,ax,ay,az,gx,gy,gz
98,310,598,-0.21,-0.05,0.99,2.13,18.23,-30.46
99,310,598,0.09,0.05,1.03,12.96,5.75,-1.93
100,310,598,0.24,0.02,1.08,9.92,18.81,-32.3
101,310,598,0.26,0.01,1.05,11.93,-5.14,-15.66
102,310,598,0.23,0.03,1.13,-5.36,-20.73,1.13
103,310,598,0.2,-0.04,1.12,15.9,3.25,-10.64
104,310,598,0.11,0.05,1.14,16.96,-3.45,-2.58
105,310,598,0.07,0.03,1.13,-6.73,-6,6.16
106,310,598,0,-0.01,1.08,0.7,-2.26,6.17
107,310,598,-0.04,0.05,1.1,4.38,0.26,5.42
108,310,598,-0.03,0.09,1.1,0.57,-0.16,0.64
109,310,598,0.02,0.1,1.13,-3.18,0.48,-5.46
110,310,598,0.1,0.08,1.18,-5.01,2.01,-9.35
111,310,598,0.25,0.08,1.2,-11.87,8.61,-10.62
112,310,598,0.3,0.02,1.16,-3.65,0.73,2.12
113,310,598,0.27,0.06,1.14,-4.2,-3.98,7.2
114,310,598,0.11,0.04,1.07,-7.7,0.58,13.19
115,310,598,-0.18,-0.02,0.98,-7.36,2.72,22.02
116,310,598,-0.39,0,0.92,10.82,-3.71,-5.24
117,310,598,-0.45,0.03,0.96,6.03,-14.7,-15.76
118,310,598,-0.31,0.03,1.01,-0.87,-20.64,-8.59
119,310,598,-0.21,0.01,1.09,0.98,-12.92,-9.33
120,310,598,-0.17,0.01,1.11,0.31,-0.21,5.64
121,310,598,-0.16,0.06,1.13,1.65,3.24,-13.56
122,310,598,-0.08,0.02,1.13,-2.44,-0.6,-14.5
123,310,598,-0.04,-0.01,1.12,-8.06,-2.68,-0.7
124,310,598,-0.09,-0.06,1.1,-1.91,-0.68,0.56
125,310,598,-0.12,-0.05,1.11,6.51,2.45,5.14
126,310,598,-0.15,0.01,1.12,4.03,5.71,6.94
127,310,598,-0.12,0.05,1.09,-1.29,6.37,-6.87
128,310,598,-0.03,0.04,1.08,-4.99,2.84,-0.93
129,310,598,0.01,0,1.06,0.09,2.64,-5.78
130,310,598,0.03,0.01,1.07,7.15,-0.98,-5.15
131,310,598,0.04,0.05,1.12,-2.6,-3.19,4.26
132,310,598,0.01,0.02,1.09,-10.74,-3.5,-0.48
133,310,598,0.01,-0.02,1.09,-2.28,-3.13,1.41
134,310,598,0,0,1.1,-1.01,0.9,4.64
135,310,598,-0.04,0.01,1.11,-0.62,-0.3,4.79
136,310,598,-0.02,0.02,1.1,-1.73,0.21,2.36
137,310,598,-0.02,0,1.09,0.01,2.46,5.59
138,310,598,-0.04,0.02,1.09,2.76,2.13,0.6
139,310,598,-0.03,0,1.08,0.6,1.59,2.68
140,310,598,-0.04,0.02,1.08,-0.43,0.67,3.22
141,310,598,-0.05,0.01,1.08,-1.39,2.34,-1.76
142,310,598,-0.03,0.02,1.07,0.15,1.19,2.83
143,310,598,-0.05,0.02,1.09,-3.31,-0.17,-0.32
144,310,598,-0.05,0.01,1.09,-5.94,-3.02,-1.23
145,310,598,-0.03,-0.01,1.09,-2.94,-4.05,-0.61
146,310,598,-0.03,0,1.09,-3.1,-2.74,-3.77
147,310,598,-0.05,-0.01,1.1,-3.92,-3,-1.9
148,310,598,-0.03,-0.03,1.1,2.2,0.75,0.69
149,310,598,-0.03,0.01,1.09,-5.06,-0.18,0.12
150,310,598,-0.04,-0.03,1.1,-5.56,-2.9,0.66
151,310,598,-0.01,-0.04,1.1,-4.42,2.22,3.44
152,310,598,-0.03,-0.05,1.1,-2.14,0.18,8.26
153,310,598,-0.03,-0.03,1.09,-0.47,-0.37,10.36
154,310,598,0,0.01,1.11,4.65,3.15,16.99
155,310,598,0.01,0.21,1.14,10.7,2.74,21.98
156,310,598,-0.03,0.4,1.16,10.64,9.35,15
157,310,598,-0.1,0.41,1.07,2.19,9.18,-7.99
158,310,598,-0.11,0.22,1,-6.43,4.28,-39.36
159,310,598,-0.1,-0.08,0.97,4.41,0.97,-79.45
160,310,598,-0.02,-0.19,1.01,18.38,3.29,-70.82
161,310,598,0.04,-0.28,1.09,17.44,0.68,-32.3
162,310,598,0.04,-0.29,1.14,-4.69,-1.89,-8.02
163,310,598,0,-0.27,1.13,-3.94,0.23,4.89
164,310,598,-0.04,-0.21,1.09,3.44,4.06,9.89
165,310,598,-0.05,-0.17,1.09,5.36,-2.34,9.82
166,310,598,-0.03,-0.19,1.14,1.59,-10.24,14.74
167,310,598,0,-0.27,1.19,-3.08,-5.39,27.38
168,310,598,-0.04,-0.29,1.21,-8.88,-0.06,27.12
169,310,598,-0.05,-0.27,1.12,-21.96,0.89,40.29
170,310,598,-0.06,-0.22,1.03,-22.75,5.34,32.48
171,310,598,0.01,-0.15,0.96,-24,-5.37,54.01
172,310,598,0,0.06,1,-22.56,-17.47,53.76
173,310,598,0.1,0.27,1.09,-6.58,-2.83,68.17
174,310,598,-0.03,0.36,1.13,-2.11,0.32,44.49
175,310,598,-0.05,0.39,1.13,-6.81,-0.81,20.06
176,310,598,-0.02,0.23,1.1,-5.65,-1.13,9.86
177,310,598,-0.01,0.13,1.07,11.06,1.5,0.9
178,310,598,-0.05,0.11,1.07,15.04,-1.19,-6.3
179,310,598,0,0.15,1.11,7.1,-0.42,-8.71
180,310,598,0.02,0.14,1.12,6.59,1.28,-8.85
181,310,598,-0.02,0.2,1.14,7.71,3.21,-11.37
182,310,598,0.01,0.27,1.16,9.34,10.42,-20.58
183,310,598,0.01,0.3,1.11,16.9,11.84,-19.46
184,310,598,0.01,0.32,1.07,26.3,12.02,-30.13
185,310,598,-0.05,0.26,1.04,30.09,9.97,-44.49
186,310,598,-0.13,0.04,0.97,15.35,-7.74,-51.42
187,310,598,-0.17,-0.21,1.05,17.91,-27.26,-86.83
188,310,598,0.06,-0.36,1.12,26.25,-4.46,-55.91
189,310,598,0.02,-0.17,1.12,19.48,2.06,-36.11
190,310,598,-0.01,-0.21,1.1,4.08,-5.23,-25.45
191,310,598,0.01,-0.18,1.13,-2.37,-5.54,-1.85
192,310,598,-0.04,-0.14,1.12,-8.97,-6.14,0.53
193,310,598,-0.04,-0.14,1.13,-7.32,-5.58,8.99
194,310,598,-0.01,-0.18,1.19,2.93,0.18,14.9
195,310,598,-0.02,-0.2,1.21,-0.33,8.86,22.81
196,310,598,-0.05,-0.29,1.21,-12.09,3.16,30.33
197,310,598,0,-0.32,1.14,-20.67,19.32,43.51
198,310,598,-0.04,-0.2,1.03,-23.78,13.8,53.46
