time,xe_p(1),xe_p(2),xe_p(3),xe_theta,"q(1,1)","q(2,1)","q(3,1)","q(4,1)","q?(1,1)","q?(2,1)","q?(3,1)","q?(4,1)",From Workspace1:1(1),From Workspace1:1(2),From Workspace1:1(3),From Workspace2:1,From Workspace4:1(1),From Workspace4:1(2),From Workspace4:1(3),theta_dot,pd(1),pd(2),pd(3),theta,"?e(1,1)","?e(2,1)","?e(3,1)","?e(4,1)","q_dot_dot(1,1)","q_dot_dot(2,1)","q_dot_dot(3,1)","q_dot_dot(4,1)",?d(1),?d(2),?d(3),?d(4),?(1),?(2),?(3),?(4),"Reshape(1,1)","Reshape(2,1)","Reshape(3,1)","Reshape(4,1)",xe_p(1),xe_p(2),xe_p(3),xe_theta
0.01,2.86038E-12,-0.799998931,0.3,-0.000973315,-0.927293437,-1.28700578,0.7,2.213325902,-6.41498E-07,1.28407E-06,0,-0.214710556,0,0,6.944444444,0,0,0,0.069444444,0,0,-0.8,0.000347222,0,4.27519E-10,-3.85221E-07,0,-0.214710556,1.90335E-07,-3.80241E-07,0,-20.98888889,0,0,0.069444444,0,0,0,6.944444444,0,-0.927293437,-1.28700578,0.7,2.213325902,2.86038E-12,-0.799998931,0.3,-0.000973315
0.011,3.28793E-12,-0.799998932,0.3,-0.001188025,-0.927293438,-1.287005778,0.7,2.213111191,-6.41308E-07,1.28369E-06,0,-0.235699444,0,0,6.944444444,0,0,0,0.076388889,0,0,-0.8,0.000420139,0,4.27691E-10,-3.85106E-07,0,-0.235699444,2.14749E-07,-4.29644E-07,0,-20.89855556,0,0,0.076388889,0,0,0,6.944444444,0,-0.927293438,-1.287005778,0.7,2.213111191,3.28793E-12,-0.799998932,0.3,-0.001188025
0.012,3.71564E-12,-0.799998932,0.3,-0.001423723,-0.927293438,-1.287005777,0.7,2.212875492,-6.41093E-07,1.28326E-06,0,-0.256598,0,0,6.944444444,0,0,0,0.083333333,0,0,-0.8,0.0005,0,4.27632E-10,-3.84978E-07,0,-0.256598,2.24473E-07,-4.49348E-07,0,-20.80755556,0,0,0.083333333,0,0,0,6.944444444,0,-0.927293438,-1.287005777,0.7,2.212875492,3.71564E-12,-0.799998932,0.3,-0.001423723
0.013,4.14324E-12,-0.799998933,0.3,-0.001680321,-0.927293439,-1.287005776,0.7,2.212618894,-6.40869E-07,1.28281E-06,0,-0.277405556,0,0,6.944444444,0,0,0,0.090277778,0,0,-0.8,0.000586806,0,4.27472E-10,-3.84843E-07,0,-0.277405556,2.28316E-07,-4.57147E-07,0,-20.71588889,0,0,0.090277778,0,0,0,6.944444444,0,-0.927293439,-1.287005776,0.7,2.212618894,4.14324E-12,-0.799998933,0.3,-0.001680321
0.014,4.57079E-12,-0.799998933,0.3,-0.001957726,-0.92729344,-1.287005775,0.7,2.212341488,-6.4064E-07,1.28235E-06,0,-0.298121444,0,0,6.944444444,0,0,0,0.097222222,0,0,-0.8,0.000680556,0,4.27266E-10,-3.84706E-07,0,-0.298121444,2.29805E-07,-4.60173E-07,0,-20.62355556,0,0,0.097222222,0,0,0,6.944444444,0,-0.92729344,-1.287005775,0.7,2.212341488,4.57079E-12,-0.799998933,0.3,-0.001957726
0.015,4.998E-12,-0.799998933,0.3,-0.002255846,-0.92729344,-1.287005773,0.7,2.212043367,-6.40411E-07,1.28189E-06,0,-0.318745,0,0,6.944444444,0,0,0,0.104166667,0,0,-0.8,0.00078125,0,4.27041E-10,-3.84568E-07,0,-0.318745,2.30351E-07,-4.61286E-07,0,-20.53055556,0,0,0.104166667,0,0,0,6.944444444,0,-0.92729344,-1.287005773,0.7,2.212043367,4.998E-12,-0.799998933,0.3,-0.002255846
0.016,5.4251E-12,-0.799998934,0.3,-0.002574591,-0.927293441,-1.287005772,0.7,2.211724622,-6.4018E-07,1.28143E-06,0,-0.339275556,0,0,6.944444444,0,0,0,0.111111111,0,0,-0.8,0.000888889,0,4.26808E-10,-3.84429E-07,0,-0.339275556,2.3052E-07,-4.61633E-07,0,-20.43688889,0,0,0.111111111,0,0,0,6.944444444,0,-0.927293441,-1.287005772,0.7,2.211724622,5.4251E-12,-0.799998934,0.3,-0.002574591
0.017,5.85182E-12,-0.799998934,0.3,-0.002913866,-0.927293441,-1.287005771,0.7,2.211385346,-6.3995E-07,1.28097E-06,0,-0.359712444,0,0,6.944444444,0,0,0,0.118055556,0,0,-0.8,0.001003472,0,4.26571E-10,-3.84291E-07,0,-0.359712444,2.30538E-07,-4.61672E-07,0,-20.34255556,0,0,0.118055556,0,0,0,6.944444444,0,-0.927293441,-1.287005771,0.7,2.211385346,5.85182E-12,-0.799998934,0.3,-0.002913866
0.018,6.27837E-12,-0.799998934,0.3,-0.003273578,-0.927293442,-1.287005769,0.7,2.211025634,-6.39719E-07,1.2805E-06,0,-0.380055,0,0,6.944444444,0,0,0,0.125,0,0,-0.8,0.001125,0,4.26332E-10,-3.84152E-07,0,-0.380055,2.30495E-07,-4.61588E-07,0,-20.24755556,0,0,0.125,0,0,0,6.944444444,0,-0.927293442,-1.287005769,0.7,2.211025634,6.27837E-12,-0.799998934,0.3,-0.003273578
0.019,6.70475E-12,-0.799998935,0.3,-0.003653632,-0.927293443,-1.287005768,0.7,2.210645579,-6.39489E-07,1.28004E-06,0,-0.400302556,0,0,6.944444444,0,0,0,0.131944444,0,0,-0.8,0.001253472,0,4.26093E-10,-3.84014E-07,0,-0.400302556,2.30428E-07,-4.61455E-07,0,-20.15188889,0,0,0.131944444,0,0,0,6.944444444,0,-0.927293443,-1.287005768,0.7,2.210645579,6.70475E-12,-0.799998935,0.3,-0.003653632
