X_Position,Y_Position
0.101629490116335,0.00255476560883914
0.101286204249937,0.00509549210119244
0.100716726610285,0.0076082851758131
0.0999250288467532,0.0100795386712045
0.0989166184265245,0.0124960749238137
0.0976984864253581,0.0148452807144405
0.0962790412981301,0.0171152374021992
0.0946680292892429,0.0192948439044003
0.0928764422760115,0.0213739312533807
0.0909164139631688,0.0233433675468688
0.0888011054624296,0.0251951522060552
0.0865445813964374,0.0269224985641719
0.0841616777603409,0.0285199039269581
0.0816678628557515,0.0299832063737065
