Time,Theta1,Theta2,Vel1,Vel2
0,8.28318521742886,-3.68318526590152,-31.3109199847877,-0.0117661968885978
0.100401337792642,5.13952696343779,-3.68436660780986,-31.3109199847877,-0.0235918179186145
0.200802675585284,1.99586870944673,-3.6879225660615,-15.6808044011073,-0.047418800877904
0.301204013377926,1.99077948436595,-3.69388842989919,-0.0601300305037901,-0.0717062216096967
0.401605351170569,1.98379443843855,-3.70232136721683,-0.0783162853989916,-0.0966642368965358
0.502006688963211,1.97505336471593,-3.71329886730143,-0.0982909454091798,-0.129315486708012
0.602408026755853,1.96405735361458,-3.72828826294242,-0.109520563601138,-0.149294780035171
0.702809364548495,1.95306134251322,-3.74327765858341,-0.118378228732089,-0.170399169788135
0.803210702341137,1.94028668855413,-3.76250487215338,-0.131254787615377,-0.20638467047391
0.903612040133779,1.92670502997667,-3.78472025261435,-0.137987439574833,-0.244854399607007
1.00401337792642,1.91257844149034,-3.8116722907233,-0.140701197781951,-0.268443017807287
1.10441471571906,1.898451853004,-3.83862432883225,-0.139788368700001,15.3431688776846
1.20481605351171,1.88450856303967,-0.730722928127378,-0.135704620662382,30.9547807731764
1.30521739130435,1.87120200208571,2.37717847257749,-0.127402616967883,15.2828539117925
1.40561872909699,1.85892577667596,2.33811502793958,-0.115185373687488,-0.407786299343929
1.50602006688963,1.84807247086097,2.29529389260221,-0.0935230406003677,-0.454327215847556
1.60642140468227,1.84014609989453,2.24688490740618,-0.0789468660548144,-0.482154782598695
1.70682274247492,1.83221972892809,2.19847592221015,-0.0603591561417105,-0.496644270818582
1.80722408026756,1.82802581984521,2.1471574090117,-0.0293432100931481,-0.516443543858492
1.9076254180602,1.82632753383113,2.09477267681462,-0.00512529923855029,-0.527233746510697
2.00802675585284,1.82699664604493,2.0412874620535,0.017863581776675,-0.538431832724394
2.10842809364548,1.82991458884742,1.98665412418327,0.0397675376245494,-0.550210852718414
2.20882943143813,1.83498207400138,1.93080365069158,0.0607529762260765,-0.562757995250167
2.30923076923077,1.84211394902338,1.87365081303003,0.0809936359476367,-0.576260128494298
2.40963210702341,1.85124581280504,1.81508907505681,0.100672799344966,-0.590919640805354
2.51003344481605,1.86232931649051,1.75499256810042,0.11996460807943,-0.606953332315052
2.6104347826087,1.87533502708293,1.69321122197254,0.139095935431665,-0.624644094141765
2.71083612040134,1.89026015248823,1.6295623627082,0.158303136724013,-0.644319690896532
2.81123745819398,1.90712272049066,1.56383010410824,0.177833217172726,-0.666367261825444
2.91163879598662,1.92596953830445,1.49575403361121,0.197991245952717,-0.691284720927378
3.01204013377926,1.94687989242043,1.42501828255479,0.219136958989626,-0.71970447442006
3.11244147157191,1.96997282598919,1.35123544951696,0.241716357486224,-0.752447008796737
3.21284280936455,1.99541718373639,1.27392490995226,0.265790304900061,-0.789177137628892
3.31324414715719,2.02334423035775,1.19276656877035,0.28479746220589,-0.811487620555381
3.41364548494983,2.05260527614723,1.11097602454041,0.295353442067188,-0.811909083640875
3.51404682274248,2.08265199176817,1.02973305244326,0.30228856811463,-0.805764248393905
3.61444816053512,2.11330562942349,0.949176407571944,0.307145125006063,-0.797444133020667
3.71484949832776,2.14432755466236,0.869604136902926,0.309439674190444,-0.785582991938847
3.8152508361204,2.17544194393317,0.791429240896331,0.308546353303388,-0.768537845576366
3.91565217391304,2.20628448794776,0.715279681222642,0.303491461815716,-0.744004077637565
4.01605351170569,2.23638384148306,0.642031231460347,0.293104013917182,-0.709299608876745
4.11645484949833,2.26514055816712,0.572850421968596,0.276302554251356,-0.661952643445955
4.21685618729097,2.29186613364778,0.509109369545647,0.252563379502302,-0.600693697250129
4.31725752508361,2.31585596052604,0.452229520353553,0.222327382012309,-0.526308985831145
4.41765886287625,2.33651006681172,0.403425117006176,0.187152968044206,-0.4419602997894
4.5180602006689,2.35343677725305,0.363482709653367,0.149256631365605,-0.352215764859441
4.61846153846154,2.36648119773878,0.332699249039083,0.110719499655392,-0.261375270214211
4.71886287625418,2.37566954902332,0.310997856062527,0.0729470919079375,-0.172321414895613
4.81926421404682,2.38112916897006,0.298096647867402,0.0361572060964359,-0.0854615137099754
4.91966555183946,2.38293001274917,0.293836955449995,0.00896873605603553,7.80137169152771
5.02006688963211,2.38293011516673,1.86463295676147,0.073880100308388,7.58592764877891
5.12046822742475,2.3977653345636,1.81711152412118,0.15017929090404,-0.481580855108308
5.22086956521739,2.41308651859776,1.76793023254507,0.157184949254842,-0.502800060609165
5.32127090301003,2.42932849293571,1.71614792666642,0.18029902660163,-0.560409994695847
5.42167224080268,2.44929104554479,1.65539840618541,0.239820276841254,-0.700961478420347
5.52207357859532,2.47748504618504,1.5753929863174,0.114892477578576,-0.417821695297842
5.62247491638796,2.47236176244719,1.57149869185202,-0.0589702139057773,-0.0218928375721361
5.7228762541806,2.46564366945292,1.57099684595676,-0.0693016510694023,-0.000526367056681803
5.82327759197324,2.45844580548998,1.5713929959387,-0.0756397722656783,0.0123100193982755
5.92367892976589,2.45045500080131,1.57346873078844,-0.236994224290731,0.381424334654202
6.02408026755853,2.41085673115414,1.6479840228706,-0.362848099181775,0.669808545013332
6.12448160535117,2.37759413165458,1.707968078757,-0.307991234708861,0.544304608882336
6.22488294314381,2.34901126716779,1.75728184466758,-0.277472413100124,0.47525431348276
6.32528428093645,2.32187692870297,1.80340041648779,-0.264773051928505,0.44768974279918
6.4256856187291,2.29584412991766,1.84717914285374,-0.255338800690504,0.428194431715563
6.52608695652174,2.27060421434358,1.88938300404699,-0.247602696217042,0.41314496882822
6.62648829431438,2.24612484603515,1.93013975799904,-0.240357140429026,0.399736216468215
6.72688963210702,2.2223398574494,1.96965110584215,-0.233407006424509,0.387477086942435
6.82729096989967,2.19925609464476,2.00794619378508,-0.226347033220561,0.375396177323967
6.92769230769231,2.17688876756792,2.04503166265329,-0.219075439504899,0.36321769078779
7.02809364548495,2.15526516023715,2.08088127791517,-0.211571735512507,0.350836209833416
7.12849498327759,2.13440459699879,2.11548051228004,-0.203853970526396,0.338238643539943
7.22889632107023,2.11433073752677,2.14880050252433,-0.195857577200435,0.325217314603261
7.32929765886288,2.09507587146329,2.18078501919904,-0.187606339311624,0.311760499072004
7.42969899665552,2.07665888263623,2.21140284487979,-0.179195947366927,0.298023055428374
7.53010033444816,2.05909284577797,2.24062884611516,-0.170511561262291,0.283671430426699
7.6305016722408,2.04241970491654,2.26836482709658,-0.161643223473413,0.268839683177609
7.73090301003344,2.02663445401428,2.29461257380072,-0.152733860611973,0.253781002777039
7.83130434782609,2.01175033705319,2.31932473146692,-0.143758852808987,0.238367195135788
7.93170568561873,1.99776729173116,2.34247734435575,-0.134675379277794,0.222422771421912
8.03210702341137,1.98470716055874,2.36398781907954,-0.125584529982661,0.206109988158098
8.13250836120401,1.97254958209852,2.38386478144274,-0.11661858521472,0.189668275833732
8.23290969899666,1.96128983662466,2.4020737163406,-0.107729348215041,0.172915414118279
8.3333110367893,1.95091724073788,2.41858665924763,-0.099009368047219,0.156016349953772
8.43371237458194,1.94140849061277,2.43340221684637,-0.0904363260302367,0.138855467399259
8.53411371237458,1.93275738450091,2.44646920862105,-0.0820971973647869,0.121589402158628
8.63451505016722,1.92492315372386,2.45781769412263,-0.0740864643120263,0.104414429057895
8.73491638795987,1.9178806242424,2.46743590534558,-0.066369525114735,0.0872133854785284
8.83531772575251,1.9115959755035,2.47533037527357,-0.0590065462312519,0.0701136121428921
8.93571906354515,1.90603195188212,2.48151490625882,-0.0520291192512326,0.0531859788013517
9.03612040133779,1.90114838914951,2.48601026212051,-0.0454656373575577,0.0365034844692233
9.13652173913044,1.89690233025353,2.48884490360843,-0.0393406763154372,0.0201403407049491
9.23692307692308,1.89324867608603,2.49005449642126,-0.0336748475710776,0.00417190084805103
9.33732441471572,1.89014033076133,2.489682632461,-0.0284857629093107,-0.0113231002972536
9.43772575250836,1.88752865867776,2.48778078758565,-0.0237876086910001,-0.0262640774996566
9.538127090301,1.8853637152904,2.48440873542729,-0.0195919726185477,-0.0405681269334205
9.63852842809364,1.88359453815596,2.47963459915394,-0.0159073524581581,-0.0541528766087348
9.73892976588629,1.88216947635533,2.47353469291361,-0.0127405452588081,-0.0669346461439957
9.83933110367893,1.88103620257957,2.46619394311887,-0.0100971323007559,-0.0788290306197834
9.93973244147157,1.8801419451736,2.45770561265137,-0.00798195040069514,-0.089751048195805
10.0401337792642,1.87943340558272,2.44817169250457,-0.00640036265994562,-0.0996135238958719
10.1405351170569,1.87885673522676,2.4377029505286,-0.00535867629494476,-0.108327013857315
10.2409364548495,1.8783573690451,2.42641933828385,-0.00486635464534616,-0.1157942287153
10.3413377926421,1.87787955819363,2.41445115958523,-0.00492571630240899,-0.121930313308297
10.4417391304348,1.87736827203241,2.4019354051366,-0.00554893798592559,-0.126640315103745
10.5421404682274,1.8767653165994,2.38902144547543,-0.00675831000981771,-0.129811230649734
10.6425418060201,1.8760111853,2.37586896270111,-0.00859332204861333,-0.131282428394521
10.7429431438127,1.87503975453987,2.36265958259648,-0.0110231991764385,-0.131056193651077
10.8433444816054,1.87379769741186,2.34955252836395,-0.0140742631589213,-0.12902949344482
10.943745819398,1.87221360484067,2.33675011508335,-0.0177993771217801,-0.125034072620361
11.0441471571906,1.87022353486206,2.32444535204246,-0.0221771079392424,-0.119061805929427
11.1445484949833,1.86776038222973,2.3128421858927,-0.027222901577924,-0.111036952689235
11.2449498327759,1.86475710338802,2.30214883485362,-0.0329315750298441,-0.10093088802458
11.3453511705686,1.8611476338525,2.29257499352817,-0.0392843533420942,-0.0887515903394025
11.4457525083612,1.85686870012828,2.28432727805102,-0.0462454278864267,-0.0745494166385114
11.5461538461538,1.85186142819932,2.27760527120383,-0.0537599903820277,-0.0584212784650625
11.6465551839465,1.84607355022013,2.27259612902412,-0.0617491945324258,-0.0405223799151072
11.7469565217391,1.83946202472197,2.26946826889579,-0.0700942191888844,-0.0210999977676891
11.8473578595318,1.83199844346395,2.26835919301753,-0.0787184413849339,-0.000323854278606948
11.9477591973244,1.82365515107397,2.26940323809015,-0.0874615603981072,0.0214740372789694
12.0481605351171,1.81443592812514,2.27267123715876,-0.0961212392591566,0.0438375814996998
12.1485618729097,1.80435374905016,2.27820594174648,-0.104568148936982,0.0664732994971004
12.2489632107023,1.79343836403759,2.28601925355276,-0.112632784717816,0.0890310836008005
12.349364548495,1.7817367845202,2.29608362154378,-0.120156042146094,0.111133985717155
12.4497658862876,1.76931070928692,2.30833525523323,-0.126999498282289,0.13245905910786
12.5501672240803,1.75623494546713,2.32268175501814,-0.134199458851939,0.157298182083816
12.6505685618729,1.74236309888735,2.33992115106036,-0.138163961603999,0.171704843991402
12.7509698996656,1.72849125230758,2.35716054710257,-0.141129025488215,0.184618704689711
12.8513712374582,1.71402401296658,2.37699308092514,-0.145384560803474,0.205074569108632
12.9517725752508,1.69929764350945,2.39834006927408,-0.147433707074365,0.219303506238409
13.0521739130435,1.68441893011459,2.42102981174305,-0.14838607647398,0.231776472840088
13.1525752508361,1.66950132233387,2.44488140515809,-0.148272860708017,0.242510942356102
13.2529765886288,1.65464534296773,2.46972665782686,-0.147107659790609,0.251497560267921
13.3533779264214,1.63996171064883,2.49538278816306,-0.144923564497565,0.258827463145387
13.453779264214,1.62554430346127,2.52169990494141,-0.14175685041339,0.264497195461941
13.5541806020067,1.61149655580328,2.54849453269662,-0.13763750752027,0.268513334816145
13.6545819397993,1.59790632369031,2.57561810100282,-0.132664837422319,0.27104689284041
13.754983277592,1.58485710149279,2.60292147398806,-0.126867071930395,0.272098825985468
13.8553846153846,1.57243107620301,2.63025627328431,-0.120304055958928,0.271738034024953
13.9557859531773,1.56069972517248,2.65748719827855,-0.113065451666548,0.270067466100267
14.0561872909699,1.54972723099211,2.68448654306578,-0.105209662330097,0.267123789142897
14.1565886287625,1.53957334347917,2.71112636985092,-0.09683081493519,0.26301505311865
14.2569899665552,1.53028334427402,2.73730066945121,-0.0879987365074973,0.257793149715518
14.3573913043478,1.52190296174034,2.76289192406136,-0.0787975884965592,0.251520875356947
14.4577926421405,1.51446057767424,2.78780673418844,-0.0693305356788369,0.244310255616497
14.5581939799331,1.50798120467627,2.81195007706208,-0.0596853035932803,0.236231070548747
14.6585953177258,1.50247560901959,2.83524256521101,-0.0499681262722359,0.227387499655485
14.7589966555184,1.49794747122682,2.85761009538755,-0.0402609321712069,0.217840128472353
14.859397993311,1.49439110611806,2.8789854458581,-0.0306660304821887,0.207702737478176
14.9597993311037,1.49178965025642,2.89931736079955,-0.019082244497973,0.194287937048016
15.0602006688963,1.49055934036669,2.91799898345128,-0.0122539192880633,0.186069459455972
15.160602006689,1.48932903047697,2.93668060610302,-0.00581321598430448,0.177560101914399
15.2610033444816,1.48939203104329,2.95365352699289,0.0045402578245924,0.163344864411331
15.3614046822742,1.49024072639599,2.96948069191993,0.0120904341518781,0.151882309469788
15.4618060200669,1.49181982256997,2.9841519011085,0.0190094647080981,0.140455462022427
15.5622073578595,1.49405787777082,2.9976845244946,0.0251935483546561,0.129245071687194
15.6626086956522,1.49687875448707,3.0101046573095,0.0305990441770651,0.118347354233922
15.7630100334448,1.50020224771193,3.02144898987321,0.0351844916103447,0.107876737157179
15.8634113712375,1.50394389454154,3.03176659476407,0.0389214771626103,0.0979288287948445
